,num_users,num_servers,fnn_user,fnn_server,random_user,random_server,greedy_user,greedy_server,mcf_user,mcf_server,fuzzy_user,fuzzy_server
0,500,8,0.2680000066757202,1.0,0.134,1.0,0.136,1.0,0.268,1.0,0.14,1.0
0,500,8,0.27000001072883606,1.0,0.146,1.0,0.142,1.0,0.266,1.0,0.146,1.0
0,500,8,0.26200002431869507,1.0,0.148,1.0,0.142,1.0,0.262,1.0,0.144,1.0
0,500,8,0.2680000066757202,1.0,0.144,1.0,0.144,1.0,0.266,1.0,0.142,1.0
0,500,8,0.2680000066757202,1.0,0.138,1.0,0.142,1.0,0.264,1.0,0.14,1.0
0,500,8,0.25200000405311584,1.0,0.128,1.0,0.134,1.0,0.25,1.0,0.13,1.0
0,500,8,0.2600000202655792,1.0,0.134,1.0,0.134,1.0,0.262,1.0,0.13,1.0
0,500,8,0.2680000066757202,1.0,0.142,1.0,0.146,1.0,0.268,1.0,0.146,1.0
0,500,8,0.27000001072883606,1.0,0.156,1.0,0.148,1.0,0.268,1.0,0.15,1.0
0,500,8,0.26200002431869507,1.0,0.138,1.0,0.138,1.0,0.262,1.0,0.14,1.0
0,500,8,0.2639999985694885,1.0,0.146,1.0,0.144,1.0,0.258,1.0,0.146,1.0
0,500,8,0.26200002431869507,1.0,0.146,1.0,0.142,1.0,0.256,1.0,0.142,1.0
0,500,8,0.25200000405311584,1.0,0.144,1.0,0.144,1.0,0.252,1.0,0.144,1.0
0,500,8,0.26600000262260437,1.0,0.126,1.0,0.13,1.0,0.264,1.0,0.13,1.0
0,500,8,0.2600000202655792,1.0,0.138,1.0,0.142,1.0,0.262,1.0,0.14,1.0
0,500,8,0.27000001072883606,1.0,0.142,1.0,0.144,1.0,0.27,1.0,0.144,1.0
0,500,8,0.2680000066757202,1.0,0.14,1.0,0.142,1.0,0.27,1.0,0.14,1.0
0,500,8,0.26600000262260437,1.0,0.152,1.0,0.16,1.0,0.264,1.0,0.162,1.0
0,500,8,0.26600000262260437,1.0,0.128,1.0,0.124,1.0,0.264,1.0,0.122,1.0
0,500,8,0.26600000262260437,1.0,0.14,1.0,0.136,1.0,0.266,1.0,0.138,1.0
0,500,8,0.26600000262260437,1.0,0.146,1.0,0.138,1.0,0.262,1.0,0.138,1.0
0,500,8,0.26600000262260437,1.0,0.136,1.0,0.138,1.0,0.262,1.0,0.144,1.0
0,500,8,0.2680000066757202,1.0,0.122,1.0,0.126,1.0,0.264,1.0,0.128,1.0
0,500,8,0.27000001072883606,1.0,0.146,1.0,0.144,1.0,0.27,1.0,0.148,1.0
0,500,8,0.26600000262260437,1.0,0.15,1.0,0.146,1.0,0.266,1.0,0.146,1.0
0,500,8,0.2580000162124634,1.0,0.136,1.0,0.136,1.0,0.256,1.0,0.136,1.0
0,500,8,0.26600000262260437,1.0,0.152,1.0,0.156,1.0,0.262,1.0,0.152,1.0
0,500,8,0.2639999985694885,1.0,0.14,1.0,0.15,1.0,0.264,1.0,0.148,1.0
0,500,8,0.2680000066757202,1.0,0.136,1.0,0.138,1.0,0.264,1.0,0.136,1.0
0,500,8,0.2680000066757202,1.0,0.14,1.0,0.144,1.0,0.266,1.0,0.138,1.0
0,500,8,0.2580000162124634,1.0,0.146,1.0,0.142,1.0,0.258,1.0,0.15,1.0
0,500,8,0.27000001072883606,1.0,0.152,1.0,0.15,1.0,0.27,1.0,0.146,1.0
0,500,8,0.2600000202655792,1.0,0.146,1.0,0.146,1.0,0.256,1.0,0.146,1.0
0,500,8,0.26600000262260437,1.0,0.134,1.0,0.138,1.0,0.262,1.0,0.142,1.0
0,500,8,0.27000001072883606,1.0,0.146,1.0,0.152,1.0,0.27,1.0,0.152,1.0
0,500,8,0.2639999985694885,1.0,0.128,1.0,0.132,1.0,0.262,1.0,0.128,1.0
0,500,8,0.27000001072883606,1.0,0.136,1.0,0.14,1.0,0.268,1.0,0.138,1.0
