,num_users,num_servers,fnn1_user,fnn1_server,fnn2_user,fnn2_server,fnn_user,fnn_server,random_user,random_server,greedy_user,greedy_server,mcf_user,mcf_server,fuzzy_user,fuzzy_server
0,300,65,0.9166666865348816,0.6615384817123413,0.9433333277702332,0.8461538553237915,0.9399999976158142,0.7846153974533081,0.9133333333333333,0.8923076923076924,0.9333333333333333,0.9846153846153847,0.9166666666666666,0.5692307692307692,0.9366666666666666,0.9230769230769231
0,300,65,0.9200000166893005,0.6461538672447205,0.9666666984558105,0.7846153974533081,0.9633333683013916,0.7230769395828247,0.93,0.9384615384615385,0.96,1.0,0.9266666666666666,0.6153846153846154,0.96,0.9846153846153847
0,300,65,0.9366666674613953,0.6461538672447205,0.9633333683013916,0.8153846263885498,0.9633333683013916,0.800000011920929,0.9,0.9384615384615385,0.96,0.9692307692307692,0.9133333333333333,0.5538461538461539,0.9666666666666667,0.8923076923076924
0,300,65,0.9600000381469727,0.6461538672447205,0.9833333492279053,0.7384615540504456,0.9833333492279053,0.7384615540504456,0.9533333333333334,0.9538461538461539,0.9866666666666667,1.0,0.9533333333333334,0.5692307692307692,0.9833333333333333,0.8769230769230769
0,300,65,0.9666666984558105,0.6307692527770996,0.9933333396911621,0.7692307829856873,0.9933333396911621,0.800000011920929,0.95,0.9846153846153847,1.0,1.0,0.96,0.6,0.9966666666666667,0.8923076923076924
0,300,65,0.9566667079925537,0.6461538672447205,0.9900000095367432,0.8615384697914124,0.9833333492279053,0.7846153974533081,0.98,1.0,0.9966666666666667,1.0,0.9466666666666667,0.5538461538461539,0.99,0.9076923076923077
0,300,65,0.9399999976158142,0.6307692527770996,0.9766666889190674,0.8153846263885498,0.9766666889190674,0.7846153974533081,0.9366666666666666,0.9384615384615385,0.98,0.9846153846153847,0.9433333333333334,0.5846153846153846,0.9733333333333334,0.9538461538461539
0,300,65,0.9466667175292969,0.6461538672447205,0.9766666889190674,0.7846153974533081,0.9800000190734863,0.8769230842590332,0.9633333333333334,0.9538461538461539,0.9866666666666667,1.0,0.9433333333333334,0.5846153846153846,0.99,0.8923076923076924
0,300,65,0.9366666674613953,0.6461538672447205,0.9600000381469727,0.7384615540504456,0.9566667079925537,0.7384615540504456,0.9233333333333333,1.0,0.96,0.9846153846153847,0.9166666666666666,0.5538461538461539,0.95,0.9538461538461539
0,300,65,0.9433333277702332,0.7076923251152039,0.9733333587646484,0.7846153974533081,0.9800000190734863,0.800000011920929,0.94,0.9692307692307692,0.98,1.0,0.9366666666666666,0.6307692307692307,0.9733333333333334,0.9384615384615385
0,300,65,0.9366666674613953,0.6461538672447205,0.9666666984558105,0.8307692408561707,0.9666666984558105,0.800000011920929,0.95,1.0,0.97,0.9846153846153847,0.93,0.5384615384615384,0.97,0.8769230769230769
0,300,65,0.9533333778381348,0.6615384817123413,0.9900000095367432,0.8307692408561707,0.9900000095367432,0.800000011920929,0.9666666666666667,0.9384615384615385,0.9933333333333333,0.9846153846153847,0.9333333333333333,0.5846153846153846,0.9933333333333333,0.9384615384615385
0,300,65,0.9433333277702332,0.692307710647583,0.9766666889190674,0.7538461685180664,0.9666666984558105,0.7692307829856873,0.94,0.9230769230769231,0.98,1.0,0.94,0.6,0.9733333333333334,0.8769230769230769
0,300,65,0.9500000476837158,0.6461538672447205,0.9733333587646484,0.8153846263885498,0.9733333587646484,0.800000011920929,0.94,0.9230769230769231,0.97,0.9692307692307692,0.9233333333333333,0.5692307692307692,0.9766666666666667,0.9076923076923077
0,300,65,0.9366666674613953,0.5692307949066162,0.9700000286102295,0.9384615421295166,0.9700000286102295,0.9692307710647583,0.9366666666666666,0.9384615384615385,0.9533333333333334,1.0,0.9466666666666667,0.5384615384615384,0.9566666666666667,0.9692307692307692
0,300,65,0.9566667079925537,0.6615384817123413,0.9833333492279053,0.8461538553237915,0.9800000190734863,0.7692307829856873,0.9533333333333334,0.9384615384615385,0.9866666666666667,1.0,0.95,0.6307692307692307,0.98,0.9076923076923077
0,300,65,0.9200000166893005,0.6615384817123413,0.9733333587646484,0.7846153974533081,0.9633333683013916,0.7384615540504456,0.9166666666666666,0.9384615384615385,0.97,0.9846153846153847,0.9266666666666666,0.6,0.96,0.9384615384615385
0,300,65,0.9133333563804626,0.6307692527770996,0.9500000476837158,0.8307692408561707,0.9466667175292969,0.8307692408561707,0.9133333333333333,0.9230769230769231,0.9466666666666667,1.0,0.9266666666666666,0.5846153846153846,0.9533333333333334,0.9538461538461539
0,300,65,0.9233333468437195,0.6153846383094788,0.9600000381469727,0.7384615540504456,0.9633333683013916,0.7538461685180664,0.9366666666666666,0.9846153846153847,0.97,0.9846153846153847,0.9166666666666666,0.5538461538461539,0.9633333333333334,0.8923076923076924
0,300,65,0.9333333373069763,0.6153846383094788,0.9800000190734863,0.7692307829856873,0.9800000190734863,0.7692307829856873,0.9566666666666667,0.9230769230769231,0.9866666666666667,1.0,0.9466666666666667,0.5538461538461539,0.9833333333333333,0.9538461538461539
0,300,65,0.9466667175292969,0.6615384817123413,0.9733333587646484,0.7538461685180664,0.9800000190734863,0.7846153974533081,0.9633333333333334,0.9538461538461539,0.98,1.0,0.9533333333333334,0.5692307692307692,0.9733333333333334,0.9692307692307692
0,300,65,0.9333333373069763,0.6153846383094788,0.9666666984558105,0.8153846263885498,0.9666666984558105,0.8307692408561707,0.94,1.0,0.96,1.0,0.9366666666666666,0.5692307692307692,0.96,0.9384615384615385
0,300,65,0.9600000381469727,0.6307692527770996,0.9866666793823242,0.7692307829856873,0.9833333492279053,0.7846153974533081,0.95,0.9846153846153847,0.9966666666666667,1.0,0.94,0.5846153846153846,0.9933333333333333,0.9230769230769231
0,300,65,0.9566667079925537,0.6615384817123413,0.9933333396911621,0.8307692408561707,0.996666669845581,0.8153846263885498,0.9733333333333334,0.9846153846153847,0.98,1.0,0.9533333333333334,0.5846153846153846,0.9866666666666667,0.9076923076923077
0,300,65,0.9600000381469727,0.7230769395828247,0.9800000190734863,0.7846153974533081,0.9800000190734863,0.7538461685180664,0.9333333333333333,0.9538461538461539,0.9766666666666667,1.0,0.9433333333333334,0.6307692307692307,0.9766666666666667,0.8769230769230769
0,300,65,0.9566667079925537,0.6769230961799622,0.9833333492279053,0.8307692408561707,0.9933333396911621,0.8307692408561707,0.97,0.9846153846153847,0.9933333333333333,1.0,0.9566666666666667,0.5846153846153846,0.9866666666666667,0.9692307692307692
0,300,65,0.9333333373069763,0.692307710647583,0.9733333587646484,0.8615384697914124,0.9666666984558105,0.7538461685180664,0.92,0.9230769230769231,0.9633333333333334,1.0,0.94,0.6307692307692307,0.9666666666666667,0.9230769230769231
0,300,65,0.9433333277702332,0.6615384817123413,0.9666666984558105,0.8153846263885498,0.9700000286102295,0.7692307829856873,0.9433333333333334,0.9076923076923077,0.9666666666666667,0.9846153846153847,0.9266666666666666,0.5846153846153846,0.97,0.9076923076923077
0,300,65,0.9600000381469727,0.6769230961799622,0.9733333587646484,0.7846153974533081,0.9833333492279053,0.7846153974533081,0.9666666666666667,0.9692307692307692,0.9866666666666667,1.0,0.96,0.6461538461538462,0.9833333333333333,0.9230769230769231
0,300,65,0.9433333277702332,0.6153846383094788,0.9800000190734863,0.8153846263885498,0.9833333492279053,0.8307692408561707,0.9566666666666667,0.9384615384615385,0.9733333333333334,0.9846153846153847,0.9366666666666666,0.5230769230769231,0.9833333333333333,0.9076923076923077
0,300,65,0.9366666674613953,0.6153846383094788,0.9733333587646484,0.7384615540504456,0.9733333587646484,0.7538461685180664,0.9533333333333334,0.9384615384615385,0.9833333333333333,0.9846153846153847,0.9433333333333334,0.5692307692307692,0.9766666666666667,0.8615384615384616
0,300,65,0.9466667175292969,0.6307692527770996,0.9766666889190674,0.7538461685180664,0.9766666889190674,0.7384615540504456,0.9466666666666667,0.9230769230769231,0.9833333333333333,1.0,0.9433333333333334,0.5846153846153846,0.98,0.9384615384615385
0,300,65,0.9533333778381348,0.6615384817123413,0.9866666793823242,0.800000011920929,0.9900000095367432,0.7692307829856873,0.9666666666666667,0.9692307692307692,0.9966666666666667,1.0,0.96,0.6,0.9966666666666667,0.9076923076923077
0,300,65,0.9633333683013916,0.6461538672447205,0.9700000286102295,0.7230769395828247,0.9700000286102295,0.7538461685180664,0.94,0.9692307692307692,0.9633333333333334,1.0,0.9566666666666667,0.5692307692307692,0.9766666666666667,0.8769230769230769
0,300,65,0.9633333683013916,0.7076923251152039,0.9800000190734863,0.7846153974533081,0.9800000190734863,0.800000011920929,0.94,0.9384615384615385,0.97,1.0,0.95,0.6,0.9766666666666667,0.9384615384615385
0,300,65,0.9100000262260437,0.5846154093742371,0.9666666984558105,0.8461538553237915,0.9633333683013916,0.7692307829856873,0.9233333333333333,0.9538461538461539,0.96,0.9846153846153847,0.9133333333333333,0.6,0.9566666666666667,0.9076923076923077
0,300,65,0.9399999976158142,0.6461538672447205,0.9766666889190674,0.8153846263885498,0.9800000190734863,0.7846153974533081,0.9233333333333333,0.9692307692307692,0.9733333333333334,1.0,0.94,0.5846153846153846,0.97,0.9846153846153847
0,300,65,0.9300000071525574,0.6307692527770996,0.9633333683013916,0.7692307829856873,0.9566667079925537,0.7076923251152039,0.9066666666666666,0.9076923076923077,0.9533333333333334,1.0,0.9266666666666666,0.5692307692307692,0.95,0.8923076923076924
0,300,65,0.9366666674613953,0.7076923251152039,0.9633333683013916,0.7384615540504456,0.9566667079925537,0.7538461685180664,0.93,0.9692307692307692,0.95,1.0,0.9433333333333334,0.6,0.96,0.9846153846153847
0,300,65,0.9266666769981384,0.6307692527770996,0.9600000381469727,0.7538461685180664,0.9566667079925537,0.7538461685180664,0.92,0.8923076923076924,0.9733333333333334,1.0,0.9166666666666666,0.6461538461538462,0.9566666666666667,0.8461538461538461
0,300,65,0.9333333373069763,0.6615384817123413,0.9633333683013916,0.8307692408561707,0.9633333683013916,0.7692307829856873,0.9366666666666666,0.9384615384615385,0.9666666666666667,1.0,0.93,0.5538461538461539,0.9633333333333334,0.9230769230769231
0,300,65,0.9566667079925537,0.6615384817123413,0.9733333587646484,0.7384615540504456,0.9800000190734863,0.7384615540504456,0.9633333333333334,0.9384615384615385,0.9833333333333333,1.0,0.9533333333333334,0.5846153846153846,0.98,0.9076923076923077
0,300,65,0.9266666769981384,0.6769230961799622,0.9733333587646484,0.8615384697914124,0.9666666984558105,0.7846153974533081,0.92,0.9076923076923077,0.9566666666666667,1.0,0.9433333333333334,0.5846153846153846,0.95,0.9538461538461539
0,300,65,0.9166666865348816,0.6307692527770996,0.9633333683013916,0.7846153974533081,0.9633333683013916,0.7538461685180664,0.9233333333333333,0.9384615384615385,0.9633333333333334,1.0,0.9366666666666666,0.6,0.9666666666666667,0.9384615384615385
0,300,65,0.9366666674613953,0.6615384817123413,0.9600000381469727,0.800000011920929,0.9600000381469727,0.8153846263885498,0.8933333333333333,0.9230769230769231,0.98,1.0,0.92,0.5692307692307692,0.9766666666666667,0.8923076923076924
0,300,65,0.9399999976158142,0.6461538672447205,0.9800000190734863,0.7692307829856873,0.9766666889190674,0.800000011920929,0.95,0.9230769230769231,0.9833333333333333,1.0,0.95,0.6153846153846154,0.98,0.9384615384615385
0,300,65,0.9500000476837158,0.6153846383094788,0.9866666793823242,0.800000011920929,0.9800000190734863,0.7538461685180664,0.96,0.9846153846153847,0.9766666666666667,0.9846153846153847,0.96,0.6,0.9866666666666667,0.8923076923076924
0,300,65,0.9466667175292969,0.6461538672447205,0.9800000190734863,0.7230769395828247,0.9766666889190674,0.7230769395828247,0.9566666666666667,0.9384615384615385,0.9733333333333334,0.9846153846153847,0.9633333333333334,0.6153846153846154,0.9766666666666667,0.9538461538461539
0,300,65,0.9366666674613953,0.6307692527770996,0.9600000381469727,0.7846153974533081,0.9566667079925537,0.7538461685180664,0.93,0.9230769230769231,0.9666666666666667,0.9846153846153847,0.9366666666666666,0.5846153846153846,0.9633333333333334,0.8923076923076924
0,300,65,0.9433333277702332,0.6769230961799622,0.9766666889190674,0.800000011920929,0.9833333492279053,0.8153846263885498,0.9466666666666667,0.9692307692307692,0.9766666666666667,1.0,0.94,0.6,0.98,0.9384615384615385
0,300,65,0.9533333778381348,0.6769230961799622,0.9866666793823242,0.800000011920929,0.9733333587646484,0.7846153974533081,0.9433333333333334,0.9538461538461539,0.9933333333333333,1.0,0.94,0.5692307692307692,0.9866666666666667,0.8461538461538461
0,300,65,0.9366666674613953,0.6615384817123413,0.9766666889190674,0.8461538553237915,0.9766666889190674,0.8615384697914124,0.94,0.9846153846153847,0.97,1.0,0.9433333333333334,0.6,0.9633333333333334,0.8923076923076924
0,300,65,0.9600000381469727,0.692307710647583,0.9766666889190674,0.7692307829856873,0.9766666889190674,0.800000011920929,0.9566666666666667,0.9692307692307692,0.9766666666666667,1.0,0.9466666666666667,0.6461538461538462,0.9766666666666667,0.9538461538461539
0,300,65,0.9600000381469727,0.6461538672447205,0.9900000095367432,0.7846153974533081,0.9866666793823242,0.7538461685180664,0.9466666666666667,0.8769230769230769,0.9933333333333333,0.9846153846153847,0.9633333333333334,0.5692307692307692,0.99,0.9076923076923077
0,300,65,0.9566667079925537,0.692307710647583,0.9733333587646484,0.7538461685180664,0.9733333587646484,0.7692307829856873,0.96,0.9076923076923077,0.9866666666666667,0.9846153846153847,0.95,0.6461538461538462,0.9833333333333333,0.9076923076923077
0,300,65,0.9399999976158142,0.6615384817123413,0.9666666984558105,0.7846153974533081,0.9633333683013916,0.7538461685180664,0.94,0.9384615384615385,0.9766666666666667,1.0,0.9233333333333333,0.5692307692307692,0.97,0.9384615384615385
0,300,65,0.9433333277702332,0.6153846383094788,0.9600000381469727,0.8615384697914124,0.9666666984558105,0.8461538553237915,0.9366666666666666,0.9384615384615385,0.96,1.0,0.9433333333333334,0.5846153846153846,0.96,0.9076923076923077
0,300,65,0.9600000381469727,0.6307692527770996,0.9766666889190674,0.7384615540504456,0.9733333587646484,0.7230769395828247,0.9466666666666667,0.9384615384615385,0.9833333333333333,1.0,0.94,0.5846153846153846,0.9766666666666667,0.8769230769230769
0,300,65,0.9800000190734863,0.6461538672447205,0.9900000095367432,0.8153846263885498,0.9900000095367432,0.7846153974533081,0.98,0.9692307692307692,0.9966666666666667,1.0,0.96,0.5846153846153846,0.9966666666666667,0.9076923076923077
0,300,65,0.9433333277702332,0.5846154093742371,0.9800000190734863,0.800000011920929,0.9766666889190674,0.800000011920929,0.9233333333333333,0.9230769230769231,0.9666666666666667,1.0,0.94,0.5846153846153846,0.97,0.8923076923076924
0,300,65,0.9466667175292969,0.6461538672447205,0.9733333587646484,0.8153846263885498,0.9800000190734863,0.800000011920929,0.92,0.9538461538461539,0.98,0.9846153846153847,0.9333333333333333,0.5538461538461539,0.9733333333333334,0.8923076923076924
0,300,65,0.9366666674613953,0.6307692527770996,0.9733333587646484,0.8615384697914124,0.9800000190734863,0.8461538553237915,0.96,0.9692307692307692,0.9666666666666667,1.0,0.95,0.5692307692307692,0.97,1.0
0,300,65,0.9233333468437195,0.6153846383094788,0.9533333778381348,0.800000011920929,0.9500000476837158,0.800000011920929,0.9266666666666666,0.9846153846153847,0.9533333333333334,1.0,0.91,0.6,0.9633333333333334,0.9076923076923077
0,300,65,0.9566667079925537,0.6615384817123413,0.9700000286102295,0.7538461685180664,0.9733333587646484,0.8307692408561707,0.9266666666666666,0.9384615384615385,0.97,1.0,0.9466666666666667,0.5692307692307692,0.9666666666666667,0.9230769230769231
0,300,65,0.9600000381469727,0.6461538672447205,0.9866666793823242,0.8769230842590332,0.9833333492279053,0.8461538553237915,0.9633333333333334,0.9538461538461539,0.99,1.0,0.9466666666666667,0.5692307692307692,0.9833333333333333,0.9384615384615385
0,300,65,0.9300000071525574,0.6000000238418579,0.9533333778381348,0.800000011920929,0.9533333778381348,0.692307710647583,0.93,0.9692307692307692,0.96,1.0,0.9166666666666666,0.6,0.9566666666666667,0.9692307692307692
0,300,65,0.9333333373069763,0.6461538672447205,0.9733333587646484,0.7384615540504456,0.9733333587646484,0.8153846263885498,0.9166666666666666,0.9230769230769231,0.98,1.0,0.9266666666666666,0.6153846153846154,0.98,0.9076923076923077
0,300,65,0.9366666674613953,0.6307692527770996,0.9633333683013916,0.8461538553237915,0.9633333683013916,0.8153846263885498,0.9233333333333333,0.9230769230769231,0.9533333333333334,1.0,0.9333333333333333,0.5538461538461539,0.96,0.9076923076923077
0,300,65,0.9366666674613953,0.6461538672447205,0.9900000095367432,0.7846153974533081,0.9833333492279053,0.8153846263885498,0.9366666666666666,0.9692307692307692,0.9866666666666667,1.0,0.9333333333333333,0.5846153846153846,0.9933333333333333,0.9230769230769231
0,300,65,0.9399999976158142,0.6307692527770996,0.9733333587646484,0.8307692408561707,0.9733333587646484,0.8307692408561707,0.95,0.9538461538461539,0.97,1.0,0.9233333333333333,0.5846153846153846,0.9733333333333334,0.8923076923076924
0,300,65,0.9466667175292969,0.6769230961799622,0.9800000190734863,0.7692307829856873,0.9800000190734863,0.7692307829856873,0.94,0.9384615384615385,0.99,1.0,0.94,0.6307692307692307,0.9833333333333333,0.8769230769230769
0,300,65,0.9466667175292969,0.6307692527770996,0.9833333492279053,0.8153846263885498,0.9800000190734863,0.7846153974533081,0.9633333333333334,0.9384615384615385,0.9766666666666667,1.0,0.9433333333333334,0.5538461538461539,0.98,0.9384615384615385
0,300,65,0.9266666769981384,0.6769230961799622,0.9666666984558105,0.892307698726654,0.9633333683013916,0.8461538553237915,0.9133333333333333,0.9230769230769231,0.96,1.0,0.9133333333333333,0.5692307692307692,0.97,0.9384615384615385
0,300,65,0.9533333778381348,0.6307692527770996,0.9766666889190674,0.7692307829856873,0.9833333492279053,0.8769230842590332,0.9666666666666667,0.9692307692307692,0.98,0.9846153846153847,0.94,0.5846153846153846,0.9766666666666667,0.9692307692307692
0,300,65,0.9433333277702332,0.692307710647583,0.9866666793823242,0.800000011920929,0.9833333492279053,0.7076923251152039,0.9633333333333334,0.9692307692307692,0.96,1.0,0.9433333333333334,0.6153846153846154,0.98,0.9230769230769231
0,300,65,0.9399999976158142,0.7230769395828247,0.9833333492279053,0.7846153974533081,0.9833333492279053,0.7846153974533081,0.9566666666666667,0.9538461538461539,0.98,1.0,0.9433333333333334,0.5846153846153846,0.97,0.9384615384615385
0,300,65,0.9433333277702332,0.6307692527770996,0.9800000190734863,0.800000011920929,0.9866666793823242,0.800000011920929,0.9533333333333334,0.9538461538461539,0.9866666666666667,1.0,0.9533333333333334,0.5692307692307692,0.9833333333333333,0.9384615384615385
0,300,65,0.9166666865348816,0.6000000238418579,0.9566667079925537,0.7846153974533081,0.9466667175292969,0.7538461685180664,0.9133333333333333,0.9538461538461539,0.9433333333333334,1.0,0.9133333333333333,0.5692307692307692,0.94,0.9384615384615385
0,300,65,0.9433333277702332,0.692307710647583,0.9833333492279053,0.8461538553237915,0.9800000190734863,0.800000011920929,0.9466666666666667,0.9846153846153847,0.9766666666666667,1.0,0.9433333333333334,0.6307692307692307,0.9766666666666667,0.9692307692307692
0,300,65,0.9300000071525574,0.6461538672447205,0.9700000286102295,0.7692307829856873,0.9733333587646484,0.7538461685180664,0.94,0.9692307692307692,0.9733333333333334,1.0,0.93,0.5846153846153846,0.9766666666666667,0.8769230769230769
0,300,65,0.9333333373069763,0.6461538672447205,0.9633333683013916,0.8153846263885498,0.9733333587646484,0.7692307829856873,0.9333333333333333,0.9384615384615385,0.9766666666666667,1.0,0.9333333333333333,0.6461538461538462,0.9766666666666667,0.8923076923076924
0,300,65,0.9300000071525574,0.6000000238418579,0.9733333587646484,0.7538461685180664,0.9733333587646484,0.7230769395828247,0.9533333333333334,0.9538461538461539,0.9733333333333334,0.9846153846153847,0.9433333333333334,0.5230769230769231,0.9733333333333334,0.9384615384615385
0,300,65,0.9133333563804626,0.5846154093742371,0.9600000381469727,0.800000011920929,0.9666666984558105,0.7384615540504456,0.92,0.9076923076923077,0.96,1.0,0.9166666666666666,0.5692307692307692,0.9533333333333334,0.9538461538461539
